# CONSTRUCT SCORES
Level,Construct,Tier,Normalized Score [-1 to +1],Standard Error (SE),Raw Score,Abs Weight Sum,Answered Items,Total Items
"Meta-Trait","Stability","Low",-0.5000,1.0000,-0.2110,0.4220,1,82
"Meta-Trait","Plasticity","Average",0.0000,1.0000,0.0000,0.4660,1,99
"Meta-Trait","Disinhibition","N/A",N/A,N/A,0.0000,0.0000,0,40
"Trait","Neuroticism","High",0.5000,1.0000,0.2070,0.4140,1,48
"Trait","Sociability","Average",0.0000,1.0000,0.0000,0.1990,1,58
"Trait","Conscientiousness","N/A",N/A,N/A,0.0000,0.0000,0,34
"Trait","Integrity","N/A",N/A,N/A,0.0000,0.0000,0,14
"Trait","Openness to Experience","N/A",N/A,N/A,0.0000,0.0000,0,41
"Trait","Impulsivity","N/A",N/A,N/A,0.0000,0.0000,0,26
"Facet","Anxiety","N/A",N/A,N/A,0.0000,0.0000,0,18
"Facet","Gregariousness","N/A",N/A,N/A,0.0000,0.0000,0,22
"Facet","Trust","N/A",N/A,N/A,0.0000,0.0000,0,3
"Facet","Self-efficacy","N/A",N/A,N/A,0.0000,0.0000,0,7
"Facet","Anger","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Fairness","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Orderliness","N/A",N/A,N/A,0.0000,0.0000,0,11
"Facet","Dominance","N/A",N/A,N/A,0.0000,0.0000,0,14
"Facet","Emotionality","High",0.5000,1.0000,0.2485,0.4970,1,7
"Facet","Adventurousness","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Determination","N/A",N/A,N/A,0.0000,0.0000,0,4
"Facet","Excitement-seeking","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Intellect","N/A",N/A,N/A,0.0000,0.0000,0,10
"Facet","Attention-seeking","Average",0.0000,1.0000,0.0000,0.5340,1,7
"Facet","Cheerfulness","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Liberalism","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Artistic Interests","N/A",N/A,N/A,0.0000,0.0000,0,7
"Facet","Empathy","N/A",N/A,N/A,0.0000,0.0000,0,14
"Facet","Work Ethic","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Cautiousness","N/A",N/A,N/A,0.0000,0.0000,0,10
"Facet","Manipulativeness","N/A",N/A,N/A,0.0000,0.0000,0,6
"Facet","Humility","N/A",N/A,N/A,0.0000,0.0000,0,3
"Facet","Introspection","N/A",N/A,N/A,0.0000,0.0000,0,6
"Facet","Honesty","N/A",N/A,N/A,0.0000,0.0000,0,3
"Facet","Immoderation","N/A",N/A,N/A,0.0000,0.0000,0,6
"Facet","Self-discipline","N/A",N/A,N/A,0.0000,0.0000,0,4
"Facet","Recklessness","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Calmness","N/A",N/A,N/A,0.0000,0.0000,0,3

# ITEM RESPONSES
Question #,Label,Question Text,Meta-Trait,Meta Weight,Trait,Trait Weight,Facet,Facet Weight,Response,Numeric Score
24,"Dutifulness_105","Tell the truth.","Disinhibition",-0.580,"Integrity",0.387,"Honesty",0.529,"Unanswered",N/A
25,"Achievement.Striving_260","Do just enough work to get by.","Stability",-0.422,"Conscientiousness",-0.509,"Work Ethic",-0.499,"Unanswered",N/A
26,"Immoderation_171","Rarely overindulge.","Disinhibition",-0.580,"Impulsivity",-0.178,"Immoderation",-0.623,"Unanswered",N/A
27,"Altruism_194","Am indifferent to the feelings of others.","Plasticity",-0.466,"Sociability",-0.397,"Empathy",-0.493,"Unanswered",N/A
28,"Morality_189","Put people under pressure.","Stability",-0.422,"Neuroticism",0.106,"Dominance",0.392,"Unanswered",N/A
29,"Self.Discipline_175","Find it difficult to get down to work.","Stability",-0.422,"Conscientiousness",-0.591,"Self-discipline",-0.557,"Unanswered",N/A
30,"Morality_249","Take advantage of others.","Disinhibition",-0.580,"Integrity",-0.429,"Manipulativeness",0.485,"Unanswered",N/A
31,"Cautiousness_120","Jump into things without thinking.","Disinhibition",-0.580,"Impulsivity",0.445,"Cautiousness",-0.588,"Unanswered",N/A
32,"Trust_4","Trust others.","Plasticity",0.466,"Sociability",0.293,"Trust",0.504,"Unanswered",N/A
33,"Intellect_83","Have a rich vocabulary.","Plasticity",0.466,"Openness to Experience",0.459,"Intellect",0.487,"Unanswered",N/A
34,"Anger_36","Get irritated easily.","Stability",-0.422,"Neuroticism",0.629,"Anger",0.516,"Unanswered",N/A
35,"Orderliness_10","Like order.","Stability",0.422,"Conscientiousness",0.322,"Orderliness",0.473,"Unanswered",N/A
36,"Dutifulness_195","Break my promises.","Disinhibition",0.580,"Integrity",-0.387,"Honesty",-0.386,"Unanswered",N/A
37,"Cheerfulness_297","Seldom joke around.","Plasticity",-0.466,"Sociability",-0.400,"Cheerfulness",-0.484,"Unanswered",N/A
38,"Excitement.Seeking_82","Love action.","Disinhibition",0.580,"Impulsivity",0.390,"Excitement-seeking",0.482,"Unanswered",N/A
39,"Emotionality_193","Am not easily affected by my emotions.","Stability",0.422,"Neuroticism",-0.414,"Emotionality",-0.493,"Unanswered",N/A
40,"Gregariousness_7","Love large parties.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.470,"Unanswered",N/A
41,"Adventurousness_138","Prefer to stick with things that I know.","Plasticity",-0.466,"Openness to Experience",-0.319,"Adventurousness",-0.454,"Unanswered",N/A
42,"Activity.Level_197","Like to take my time.","Stability",0.422,"Conscientiousness",-0.126,"Calmness",0.414,"Unanswered",N/A
43,"Liberalism_88","Believe that criminals should receive help rather than punishment.","Plasticity",0.466,"Openness to Experience",0.237,"Liberalism",0.519,"Unanswered",N/A
44,"Excitement.Seeking_142","Enjoy being reckless.","Disinhibition",0.580,"Impulsivity",0.546,"Recklessness",0.433,"Unanswered",N/A
45,"Self.Efficacy_155","Know how to get things done.","Stability",0.422,"Conscientiousness",0.459,"Self-efficacy",0.383,"Unanswered",N/A
46,"Dutifulness_15","Try to follow the rules.","Disinhibition",-0.580,"Integrity",0.427,"Fairness",0.394,"Unanswered",N/A
47,"Artistic.Interests_128","Enjoy the beauty of nature.","Plasticity",0.466,"Openness to Experience",0.371,"Artistic Interests",0.440,"Unanswered",N/A
48,"Modesty_144","Believe that I am better than others.","Plasticity",-0.466,"Sociability",-0.095,"Humility",-0.644,"Unanswered",N/A
49,"Self.Discipline_145","Carry out my plans.","Stability",0.422,"Conscientiousness",0.496,"Determination",0.457,"Unanswered",N/A
50,"Achievement.Striving_290","Put little time and effort into my work.","Stability",-0.422,"Conscientiousness",-0.509,"Work Ethic",-0.429,"Unanswered",N/A
51,"Imagination_153","Spend time reflecting on things.","Plasticity",0.466,"Openness to Experience",0.450,"Introspection",0.482,"Unanswered",N/A
52,"Anxiety_91","Get stressed out easily.","Stability",-0.422,"Neuroticism",0.493,"Anxiety",0.523,"Unanswered",N/A
53,"Modesty_294","Make myself the center of attention.","Plasticity",0.466,"Sociability",0.199,"Attention-seeking",0.548,"Unanswered",N/A
54,"Immoderation_231","Am able to control my cravings.","Disinhibition",-0.580,"Impulsivity",-0.178,"Immoderation",-0.506,"Unanswered",N/A
55,"Trust_214","Suspect hidden motives in others.","Plasticity",-0.466,"Sociability",-0.293,"Trust",-0.452,"Unanswered",N/A
56,"Self.Discipline_115","Get to work at once.","Stability",0.422,"Conscientiousness",0.591,"Self-discipline",0.352,"Unanswered",N/A
57,"Activity.Level_257","Let things proceed at their own pace.","Stability",0.422,"Conscientiousness",-0.126,"Calmness",0.337,"Unanswered",N/A
58,"Altruism_164","Look down on others.","Plasticity",-0.466,"Sociability",-0.095,"Humility",-0.397,"Unanswered",N/A
59,"Friendliness_242","Am not really interested in others.","Plasticity",-0.466,"Sociability",-0.397,"Empathy",-0.458,"Unanswered",N/A
60,"Cautiousness_210","Rush into things.","Disinhibition",-0.580,"Impulsivity",0.445,"Cautiousness",-0.517,"Unanswered",N/A
61,"Cooperation_109","Have a sharp tongue.","Stability",-0.422,"Neuroticism",0.106,"Dominance",0.365,"Unanswered",N/A
62,"Gregariousness_247","Avoid crowds.","Plasticity",-0.466,"Sociability",-0.746,"Gregariousness",-0.468,"Unanswered",N/A
63,"Morality_129","Know how to get around the rules.","Disinhibition",0.580,"Integrity",-0.427,"Fairness",-0.318,"Unanswered",N/A
64,"Anger_186","Seldom get mad.","Stability",0.422,"Neuroticism",-0.629,"Anger",-0.492,"Unanswered",N/A
65,"Excitement.Seeking_22","Love excitement.","Disinhibition",0.580,"Impulsivity",0.390,"Excitement-seeking",0.426,"Unanswered",N/A
66,"Dutifulness_225","Get others to do my duties.","Disinhibition",-0.580,"Integrity",-0.429,"Manipulativeness",0.329,"Unanswered",N/A
67,"Emotionality_163","Seldom get emotional.","Stability",0.422,"Neuroticism",-0.414,"Emotionality",-0.508,"Unanswered",N/A
68,"Intellect_113","Can handle a lot of information.","Plasticity",0.466,"Openness to Experience",0.459,"Intellect",0.407,"Unanswered",N/A
69,"Orderliness_220","Leave my belongings around.","Stability",-0.422,"Conscientiousness",-0.322,"Orderliness",-0.448,"Unanswered",N/A
70,"Cheerfulness_117","Laugh my way through life.","Plasticity",0.466,"Sociability",0.400,"Cheerfulness",0.409,"Unanswered",N/A
71,"Excitement.Seeking_262","Would never go hang gliding or bungee jumping.","Disinhibition",-0.580,"Impulsivity",-0.546,"Recklessness",-0.349,"Unanswered",N/A
72,"Anxiety_31","Fear for the worst.","Stability",-0.422,"Neuroticism",0.493,"Anxiety",0.453,"Unanswered",N/A
73,"Artistic.Interests_188","Do not like poetry.","Plasticity",-0.466,"Openness to Experience",-0.371,"Artistic Interests",-0.395,"Unanswered",N/A
74,"Self.Efficacy_35","Excel in what I do.","Stability",0.422,"Conscientiousness",0.459,"Self-efficacy",0.358,"Unanswered",N/A
75,"Adventurousness_228","Am a creature of habit.","Plasticity",-0.466,"Openness to Experience",-0.319,"Adventurousness",-0.357,"Unanswered",N/A
76,"Achievement.Striving_140","Do more than what's expected of me.","Stability",0.422,"Conscientiousness",0.509,"Work Ethic",0.426,"Unanswered",N/A
77,"Dutifulness_135","Listen to my conscience.","Disinhibition",-0.580,"Integrity",0.387,"Honesty",0.232,"Unanswered",N/A
78,"Sympathy_209","Believe in an eye for an eye.","Plasticity",-0.466,"Openness to Experience",-0.237,"Liberalism",-0.378,"Unanswered",N/A
79,"Self.Discipline_235","Need a push to get started.","Stability",-0.422,"Conscientiousness",-0.591,"Self-discipline",-0.328,"Unanswered",N/A
80,"Imagination_243","Seldom get lost in thought.","Plasticity",-0.466,"Openness to Experience",-0.450,"Introspection",-0.359,"Unanswered",N/A
81,"Immoderation_111","Go on binges.","Disinhibition",0.580,"Impulsivity",0.178,"Immoderation",0.376,"Unanswered",N/A
82,"Trust_124","Believe in human goodness.","Plasticity",0.466,"Sociability",0.293,"Trust",0.332,"Unanswered",N/A
83,"Achievement.Striving_20","Go straight for the goal.","Stability",0.422,"Conscientiousness",0.496,"Determination",0.283,"Unanswered",N/A
84,"Modesty_24","Dislike being the center of attention.","Plasticity",-0.466,"Sociability",-0.199,"Attention-seeking",-0.359,"Unanswered",N/A
85,"Activity.Level_227","Like a leisurely lifestyle.","Stability",0.422,"Conscientiousness",-0.126,"Calmness",0.302,"Unanswered",N/A
86,"Morality_159","Cheat to get ahead.","Disinhibition",0.580,"Integrity",-0.427,"Fairness",-0.316,"Unanswered",N/A
87,"Gregariousness_187","Want to be left alone.","Plasticity",-0.466,"Sociability",-0.746,"Gregariousness",-0.464,"Unanswered",N/A
88,"Altruism_74","Love to help others.","Plasticity",0.466,"Sociability",0.397,"Empathy",0.452,"Unanswered",N/A
89,"Anger_156","Rarely get irritated.","Stability",0.422,"Neuroticism",-0.629,"Anger",-0.488,"Unanswered",N/A
90,"Cautiousness_150","Make rash decisions.","Disinhibition",-0.580,"Impulsivity",0.445,"Cautiousness",-0.449,"Unanswered",N/A
91,"Assertiveness_282","Hold back my opinions.","Stability",0.422,"Neuroticism",-0.106,"Dominance",-0.328,"Unanswered",N/A
92,"Vulnerability_146","Get overwhelmed by emotions.","Stability",-0.422,"Neuroticism",0.414,"Emotionality",0.414,"Unanswered",N/A
93,"Morality_279","Obstruct others' plans.","Disinhibition",-0.580,"Integrity",-0.429,"Manipulativeness",0.263,"Unanswered",N/A
94,"Intellect_293","Avoid difficult reading material.","Plasticity",-0.466,"Openness to Experience",-0.459,"Intellect",-0.404,"Unanswered",N/A
95,"Cheerfulness_237","Amuse my friends.","Plasticity",0.466,"Sociability",0.400,"Cheerfulness",0.393,"Unanswered",N/A
96,"Anxiety_61","Am afraid of many things.","Stability",-0.422,"Neuroticism",0.493,"Anxiety",0.393,"Unanswered",N/A
97,"Artistic.Interests_98","Love flowers.","Plasticity",0.466,"Openness to Experience",0.371,"Artistic Interests",0.367,"Unanswered",N/A
98,"Excitement.Seeking_202","Willing to try anything once.","Disinhibition",0.580,"Impulsivity",0.546,"Recklessness",0.262,"Unanswered",N/A
99,"Achievement.Striving_50","Work hard.","Stability",0.422,"Conscientiousness",0.509,"Work Ethic",0.382,"Unanswered",N/A
100,"Adventurousness_108","Like to begin new things.","Plasticity",0.466,"Openness to Experience",0.319,"Adventurousness",0.341,"Unanswered",N/A
101,"Orderliness_70","Want everything to be just right.","Stability",0.422,"Conscientiousness",0.322,"Orderliness",0.349,"Unanswered",N/A
102,"Modesty_84","Consider myself an average person.","Plasticity",0.466,"Sociability",0.095,"Humility",0.248,"Unanswered",N/A
103,"Adventurousness_48","Like to visit new places.","Disinhibition",0.580,"Impulsivity",0.390,"Excitement-seeking",0.274,"Unanswered",N/A
104,"Liberalism_208","Believe laws should be strictly enforced.","Plasticity",-0.466,"Openness to Experience",-0.237,"Liberalism",-0.351,"Unanswered",N/A
105,"Self.Efficacy_5","Complete tasks successfully.","Stability",0.422,"Conscientiousness",0.459,"Self-efficacy",0.279,"Unanswered",N/A
106,"Immoderation_201","Easily resist temptations.","Disinhibition",-0.580,"Impulsivity",-0.178,"Immoderation",-0.341,"Unanswered",N/A
107,"Morality_9","Would never cheat on my taxes.","Disinhibition",-0.580,"Integrity",0.427,"Fairness",0.305,"Unanswered",N/A
108,"Friendliness_92","Act comfortably with others.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.449,"Unanswered",N/A
109,"Self.Consciousness_106","Am afraid to draw attention to myself.","Plasticity",-0.466,"Sociability",-0.199,"Attention-seeking",-0.350,"Unanswered",N/A
110,"Self.Discipline_205","Waste my time.","Stability",-0.422,"Conscientiousness",-0.591,"Self-discipline",-0.262,"Unanswered",N/A
111,"Emotionality_103","Enjoy examining myself and my life.","Plasticity",0.466,"Openness to Experience",0.450,"Introspection",0.266,"Unanswered",N/A
112,"Sympathy_59","Feel sympathy for those who are worse off than myself.","Plasticity",0.466,"Sociability",0.397,"Empathy",0.409,"Unanswered",N/A
113,"Anger_216","Am not easily annoyed.","Stability",0.422,"Neuroticism",-0.629,"Anger",-0.415,"Unanswered",N/A
114,"Achievement.Striving_230","Am not highly motivated to succeed.","Stability",-0.422,"Conscientiousness",-0.496,"Determination",-0.210,"Unanswered",N/A
115,"Anxiety_241","Don't worry about things that have already happened.","Stability",0.422,"Neuroticism",-0.493,"Anxiety",-0.383,"Unanswered",N/A
116,"Cooperation_169","Love a good fight.","Stability",-0.422,"Neuroticism",0.106,"Dominance",0.325,"Unanswered",N/A
117,"Cheerfulness_267","Am not easily amused.","Plasticity",-0.466,"Sociability",-0.400,"Cheerfulness",-0.383,"Unanswered",N/A
118,"Modesty_234","Know the answers to many questions.","Plasticity",0.466,"Openness to Experience",0.459,"Intellect",0.376,"Unanswered",N/A
119,"Morality_69","Use flattery to get ahead.","Disinhibition",-0.580,"Integrity",-0.429,"Manipulativeness",0.205,"Unanswered",N/A
120,"Excitement.Seeking_172","Act wild and crazy.","Disinhibition",0.580,"Impulsivity",0.546,"Recklessness",0.235,"Unanswered",N/A
121,"Adventurousness_18","Prefer variety to routine.","Plasticity",0.466,"Openness to Experience",0.319,"Adventurousness",0.336,"Unanswered",N/A
122,"Emotionality_253","Experience very few emotional highs and lows.","Stability",0.422,"Neuroticism",-0.414,"Emotionality",-0.328,"Unanswered",N/A
123,"Self.Discipline_25","Get chores done right away.","Stability",0.422,"Conscientiousness",0.322,"Orderliness",0.340,"Unanswered",N/A
124,"Artistic.Interests_68","See beauty in things that others might not notice.","Plasticity",0.466,"Openness to Experience",0.371,"Artistic Interests",0.335,"Unanswered",N/A
125,"Self.Efficacy_125","Come up with good solutions.","Stability",0.422,"Conscientiousness",0.459,"Self-efficacy",0.264,"Unanswered",N/A
126,"Cautiousness_180","Like to act on a whim.","Disinhibition",-0.580,"Impulsivity",0.445,"Cautiousness",-0.284,"Unanswered",N/A
127,"Friendliness_212","Avoid contacts with others.","Plasticity",-0.466,"Sociability",-0.746,"Gregariousness",-0.446,"Unanswered",N/A
128,"Imagination_123","Indulge in my fantasies.","Plasticity",0.466,"Openness to Experience",0.450,"Introspection",0.264,"Unanswered",N/A
129,"Modesty_54","Dislike talking about myself.","Plasticity",-0.466,"Sociability",-0.199,"Attention-seeking",-0.337,"Unanswered",N/A
130,"Immoderation_141","Love to eat.","Disinhibition",0.580,"Impulsivity",0.178,"Immoderation",0.273,"Unanswered",N/A
131,"Sympathy_149","Am not interested in other people's problems.","Plasticity",-0.466,"Sociability",-0.397,"Empathy",-0.401,"Unanswered",N/A
132,"Sympathy_269","Believe people should fend for themselves.","Plasticity",-0.466,"Openness to Experience",-0.237,"Liberalism",-0.284,"Unanswered",N/A
133,"Vulnerability_86","Feel that I'm unable to deal with things.","Stability",-0.422,"Neuroticism",0.493,"Anxiety",0.376,"Unanswered",N/A
134,"Anger_66","Get upset easily.","Stability",-0.422,"Neuroticism",0.629,"Anger",0.408,"Unanswered",N/A
135,"Emotionality_283","Don't understand people who get emotional.","Stability",0.422,"Neuroticism",-0.414,"Emotionality",-0.324,"Unanswered",N/A
136,"Cooperation_229","Insult people.","Stability",-0.422,"Neuroticism",0.106,"Dominance",0.320,"Unanswered",N/A
137,"Cheerfulness_27","Radiate joy.","Plasticity",0.466,"Sociability",0.400,"Cheerfulness",0.331,"Unanswered",N/A
138,"Adventurousness_288","Am attached to conventional ways.","Plasticity",-0.466,"Openness to Experience",-0.319,"Adventurousness",-0.321,"Unanswered",N/A
139,"Dutifulness_255","Do the opposite of what is asked.","Disinhibition",-0.580,"Integrity",-0.429,"Manipulativeness",0.155,"Unanswered",N/A
140,"Orderliness_250","Am not bothered by messy people.","Stability",-0.422,"Conscientiousness",-0.322,"Orderliness",-0.316,"Unanswered",N/A
141,"Artistic.Interests_278","Do not enjoy watching dance performances.","Plasticity",-0.466,"Openness to Experience",-0.371,"Artistic Interests",-0.307,"Unanswered",N/A
142,"Achievement.Striving_110","Plunge into tasks with all my heart.","Stability",0.422,"Conscientiousness",0.509,"Work Ethic",0.209,"Unanswered",N/A
143,"Friendliness_2","Make friends easily.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.432,"Unanswered",N/A
144,"Intellect_203","Avoid philosophical discussions.","Plasticity",-0.466,"Openness to Experience",-0.459,"Intellect",-0.309,"Unanswered",N/A
145,"Self.Efficacy_275","Don't see the consequences of things.","Disinhibition",-0.580,"Impulsivity",0.445,"Cautiousness",-0.233,"Unanswered",N/A
146,"Vulnerability_56","Become overwhelmed by events.","Stability",-0.422,"Neuroticism",0.493,"Anxiety",0.354,"Unanswered",N/A
147,"Imagination_213","Do not have a good imagination.","Plasticity",-0.466,"Openness to Experience",-0.450,"Introspection",-0.231,"Unanswered",N/A
148,"Modesty_114","Seldom toot my own horn.","Plasticity",-0.466,"Sociability",-0.199,"Attention-seeking",-0.296,"Unanswered",N/A
149,"Activity.Level_107","Can manage many things at the same time.","Stability",0.422,"Conscientiousness",0.459,"Self-efficacy",0.196,"Unanswered",N/A
150,"Immoderation_291","Never splurge.","Disinhibition",-0.580,"Impulsivity",-0.178,"Immoderation",-0.222,"Unanswered",N/A
151,"Liberalism_298","Like to stand during the national anthem.","Plasticity",-0.466,"Openness to Experience",-0.237,"Liberalism",-0.251,"Unanswered",N/A
152,"Sympathy_119","Suffer from others' sorrows.","Plasticity",0.466,"Sociability",0.397,"Empathy",0.318,"Unanswered",N/A
153,"Cheerfulness_87","Express childlike joy.","Plasticity",0.466,"Sociability",0.400,"Cheerfulness",0.325,"Unanswered",N/A
154,"Cooperation_139","Contradict others.","Stability",-0.422,"Neuroticism",0.106,"Dominance",0.313,"Unanswered",N/A
155,"Activity.Level_47","Am always on the go.","Disinhibition",0.580,"Impulsivity",0.390,"Excitement-seeking",0.126,"Unanswered",N/A
156,"Cooperation_199","Yell at people.","Stability",-0.422,"Neuroticism",0.629,"Anger",0.311,"Unanswered",N/A
157,"Self.Efficacy_215","Don't understand things.","Plasticity",-0.466,"Openness to Experience",-0.459,"Intellect",-0.305,"Unanswered",N/A
158,"Emotionality_223","Rarely notice my emotional reactions.","Stability",0.422,"Neuroticism",-0.414,"Emotionality",-0.266,"Unanswered",N/A
159,"Self.Discipline_55","Am always prepared.","Stability",0.422,"Conscientiousness",0.322,"Orderliness",0.273,"Unanswered",N/A
160,"Friendliness_272","Keep others at a distance.","Plasticity",-0.466,"Sociability",-0.746,"Gregariousness",-0.417,"Unanswered",N/A
161,"Cautiousness_300","Often make last-minute plans.","Disinhibition",-0.580,"Impulsivity",0.445,"Cautiousness",-0.189,"Unanswered",N/A
162,"Anxiety_271","Adapt easily to new situations.","Plasticity",0.466,"Openness to Experience",0.319,"Adventurousness",0.252,"Unanswered",N/A
